0;0;0;0;province not found;x
0;0;0;0;;x
1;42;3;128;Roma;x
2;84;6;1;Tiber;x
3;126;9;129;Satricum;x
4;168;12;2;Antium;x
5;0;15;130;Priverneum;x
6;168;45;177;Cumae;x
7;84;21;131;Neapolis;x
8;126;24;4;Capua;x
9;168;27;132;Pompeii;x
10;0;30;5;Salemum;x
11;42;33;133;Paestum;x
12;84;36;6;Elea;x
13;126;39;134;Pyxus;x
14;168;42;7;Caere;x
15;0;45;135;Ostia;x
16;42;48;8;Veii;x
17;84;51;136;Tarquini;x
18;126;54;9;Nepete;x
19;168;57;137;Carsioli;x
20;0;60;10;Reate;x
21;42;63;138;Volsini;Novii
22;84;66;11;Volci;x
23;126;69;139;Narnia;x
24;168;72;12;Alba;Fucens
25;0;75;140;Signia;x
26;42;78;13;Fregellae;x
27;126;84;14;Sora;x
28;84;81;141;Corfinium;x
29;168;87;142;Aternum;x
30;0;90;15;Muruvium;x
31;42;93;143;Sora;x
32;84;96;16;Aecernia;x
33;126;99;144;Bovinium;x
34;168;102;17;Carrini;x
35;0;105;145;Larinum;x
36;42;108;18;Teanum;Apulum
37;84;111;146;Luceria;x
38;126;114;19;Sipontum;x
39;158;117;147;Canusium;x
40;0;120;20;Nola;x
41;42;123;148;Saticula;x
42;84;126;21;Venusia;x
43;126;129;149;Beneventum;x
44;168;132;22;Saepinum;x
45;0;35;150;Ausculum;x
46;42;138;23;Potentia;x
47;84;141;151;Numistro;x
48;126;144;24;Terventum;x
49;168;147;152;Gerumum;x
50;0;150;25;Urium;x
51;42;153;153;Laus;x
52;84;156;26;Thurii;x
53;126;159;154;Grumentum;x
54;168;162;27;Heraclea;x
55;0;165;155;Metapontum;x
56;42;168;28;Tarentum;x
57;84;171;156;Brundisium;x
58;126;174;29;Cannae;x
59;168;177;157;Cosillium;x
60;0;180;30;Bantia;x
61;48;183;158;Siris;x
62;84;186;31;Menturia;x
63;126;189;159;Callipolis;x
64;168;192;32;Hydruntum;x
65;0;195;160;Valetium;x
66;42;198;33;Barium;x
67;84;201;161;Gnatia;x
68;126;204;34;Silvium;x
69;168;207;162;Bitontinon;x
70;0;210;35;Alitala;x
71;42;0;163;Stiglianum;x
72;84;3;36;Rhegium;x
73;126;6;164;Locri;x
74;168;9;37;Stylacium;x
75;0;12;65;Hipponium;x
76;42;15;138;Tempsa;x
77;84;18;166;Consentia;x
78;126;21;39;Croton;x
79;168;24;167;Petelia;x
80;0;27;40;Messana;x
81;42;30;168;Naxos;x
82;84;33;141;Catana;x
83;126;36;169;Leontini;x
84;168;39;42;Syracuse;x
85;0;42;170;Gela;x
86;42;45;43;Acragas;x
87;84;48;171;Acrae;x
88;125;51;44;Murgantia;x
89;168;54;172;Henna;x
90;0;57;45;Herbesus;x
91;42;60;173;Heraclea;Minoa
92;84;63;46;Segesta;x
93;126;66;174;Selinus;x
94;168;69;47;Lilybaeum;x
95;0;72;175;Eryx;x
96;42;75;48;Panorumus;x
97;84;78;176;Thermae;Himeraeae
98;126;81;49;Cephaleodium;x
99;168;84;177;Tyndaris;x
100;0;87;50;Calacte;x
101;42;90;178;Camarina;x
102;84;93;51;Tuder;x
103;126;96;179;Spoletium;x
104;168;99;52;Amiternum;x
105;0;102;180;Trebula;x
106;42;105;53;Hadria;x
107;84;108;181;Interamnia;x
108;126;111;54;Castrum;Novum
109;168;114;182;Asculum;x
110;0;117;55;Urbs;Salvia
111;42;120;183;Firmum;x
112;84;123;56;Telamon;x
113;126;126;184;Suana;x
114;168;129;57;Vetulonia;x
115;0;132;185;Rusellae;x
116;42;135;58;Clusium;x
117;84;138;186;Ancona;x
118;126;141;59;Cingulum;x
119;168;144;187;Sentinum;x
120;0;147;60;Perusia;x
121;42;150;188;Sena;Gallica
122;84;153;61;Urbinum;x
123;126;156;189;Iguvium;x
124;168;159;62;Cortona;x
125;0;162;190;Ad;Novas
126;42;165;63;Populonium;x
127;84;168;191;Ilva;x
128;126;171;64;Vada;Volaterrana
129;168;174;192;Volaterrae;x
130;0;177;65;Sena;Iulia
131;42;180;193;Arretium;x
132;84;183;66;Sarsina;x
133;126;186;194;Ariminum;x
134;168;189;67;Florentia;x
135;0;192;195;Valvata;x
136;42;195;68;Pisae;x
137;84;198;196;Luna;x
138;126;201;69;Lucca;x
139;168;204;197;Pistoriae;x
140;0;207;70;Festulae;x
141;42;210;198;Portus;Veneris
142;84;0;71;Ravenna;x
143;126;3;199;Brundulum;x
144;168;6;72;Spina;x
145;0;9;200;Hadriani;x
146;42;12;73;Bononia;x
147;84;15;201;Faventia;x
148;126;18;74;Mevaniola;x
149;168;21;202;Mutina;x
150;0;24;75;Vicus Aventia;x
151;42;27;203;Regium Lepidum;x
152;84;30;76;Parma;x
153;126;33;204;Forum Novum;x
154;168;36;77;Rubra;x
155;4;72;0;Kiskisos;x
156;46;75;128;Myra;x
157;88;78;1;Ouarsapa;x
158;130;81;129;Ablastha;x
159;172;84;2;Choma;x
160;4;87;130;Arykanda;x
161;46;90;3;Limyra;x
162;88;93;131;Olympus;x
163;130;96;4;Osdara;x
164;172;99;132;Phaselis;x
165;0;69;210;Attaleia;x
166;42;72;83;Perge;x
167;84;75;211;Pednelissos;x
168;126;78;84;Aspendos;x
169;168;81;212;Laranda;x
170;0;84;85;Termessos;x
171;42;87;213;Isinda;x
172;84;90;86;Comana;x
173;126;93;214;Koropassos;x
174;168;96;87;Kongoustos;x
175;0;99;215;Germax;
176;42;102;88;Ekdaumaua;x
177;84;105;216;Laodikeia;x
